stco,stco_lbl,co_lbl
9001,"Fairfield County, Connecticut",Fairfield
9005,"Litchfield County, Connecticut",Litchfield
9009,"New Haven County, Connecticut",New Haven
34003,"Bergen County, New Jersey",Bergen
34013,"Essex County, New Jersey",Essex
34017,"Hudson County, New Jersey",Hudson
34019,"Hunterdon County, New Jersey",Hunterdon
34021,"Mercer County, New Jersey",Mercer
34023,"Middlesex County, New Jersey",Middlesex
34025,"Monmouth County, New Jersey",Monmouth
34027,"Morris County, New Jersey",Morris
34029,"Ocean County, New Jersey",Ocean
34031,"Passaic County, New Jersey",Passaic
34035,"Somerset County, New Jersey",Somerset
34037,"Sussex County, New Jersey",Sussex
34039,"Union County, New Jersey",Union
34041,"Warren County, New Jersey",Warren
36005,"Bronx County, New York",Bronx
36027,"Dutchess County, New York",Dutchess
36047,"Kings County, New York",Brooklyn
36059,"Nassau County, New York",Nassau
36061,"New York County, New York",Manhattan
36071,"Orange County, New York",Orange
36079,"Putnam County, New York",Putnam
36081,"Queens County, New York",Queens
36085,"Richmond County, New York",Staten Island
36087,"Rockland County, New York",Rockland
36103,"Suffolk County, New York",Suffolk
36105,"Sullivan County, New York",Sullivan
36111,"Ulster County, New York",Ulster
36119,"Westchester County, New York",Westchester
42025,"Carbon County, Pennsylvania",Carbon
42077,"Lehigh County, Pennsylvania",Lehigh
42095,"Northampton County, Pennsylvania",Northampton
42089,"Monroe County, Pennsylvania",Monroe
42103,"Pike County, Pennsylvania",Pike