csa_id,csa_name,st_id,co_id,stco,co_name,st_name
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1,17,1017,Chambers,Alabama
429,"Phoenix-Mesa, AZ",4,7,4007,Gila,Arizona
429,"Phoenix-Mesa, AZ",4,21,4021,Pinal,Arizona
429,"Phoenix-Mesa, AZ",4,13,4013,Maricopa,Arizona
472,"Sacramento-Roseville, CA",6,57,6057,Nevada,California
472,"Sacramento-Roseville, CA",6,17,6017,El Dorado,California
472,"Sacramento-Roseville, CA",6,115,6115,Yuba,California
488,"San Jose-San Francisco-Oakland, CA",6,99,6099,Stanislaus,California
472,"Sacramento-Roseville, CA",6,61,6061,Placer,California
488,"San Jose-San Francisco-Oakland, CA",6,97,6097,Sonoma,California
488,"San Jose-San Francisco-Oakland, CA",6,95,6095,Solano,California
488,"San Jose-San Francisco-Oakland, CA",6,77,6077,San Joaquin,California
488,"San Jose-San Francisco-Oakland, CA",6,55,6055,Napa,California
472,"Sacramento-Roseville, CA",6,113,6113,Yolo,California
472,"Sacramento-Roseville, CA",6,101,6101,Sutter,California
472,"Sacramento-Roseville, CA",6,67,6067,Sacramento,California
488,"San Jose-San Francisco-Oakland, CA",6,13,6013,Contra Costa,California
348,"Los Angeles-Long Beach, CA",6,71,6071,San Bernardino,California
348,"Los Angeles-Long Beach, CA",6,59,6059,Orange,California
348,"Los Angeles-Long Beach, CA",6,65,6065,Riverside,California
348,"Los Angeles-Long Beach, CA",6,111,6111,Ventura,California
348,"Los Angeles-Long Beach, CA",6,37,6037,Los Angeles,California
488,"San Jose-San Francisco-Oakland, CA",6,69,6069,San Benito,California
488,"San Jose-San Francisco-Oakland, CA",6,81,6081,San Mateo,California
488,"San Jose-San Francisco-Oakland, CA",6,47,6047,Merced,California
488,"San Jose-San Francisco-Oakland, CA",6,75,6075,San Francisco,California
488,"San Jose-San Francisco-Oakland, CA",6,85,6085,Santa Clara,California
488,"San Jose-San Francisco-Oakland, CA",6,41,6041,Marin,California
488,"San Jose-San Francisco-Oakland, CA",6,87,6087,Santa Cruz,California
488,"San Jose-San Francisco-Oakland, CA",6,1,6001,Alameda,California
216,"Denver-Aurora, CO",8,39,8039,Elbert,Colorado
216,"Denver-Aurora, CO",8,93,8093,Park,Colorado
216,"Denver-Aurora, CO",8,31,8031,Denver,Colorado
216,"Denver-Aurora, CO",8,13,8013,Boulder,Colorado
216,"Denver-Aurora, CO",8,1,8001,Adams,Colorado
216,"Denver-Aurora, CO",8,14,8014,Broomfield,Colorado
216,"Denver-Aurora, CO",8,59,8059,Jefferson,Colorado
216,"Denver-Aurora, CO",8,19,8019,Clear Creek,Colorado
216,"Denver-Aurora, CO",8,35,8035,Douglas,Colorado
216,"Denver-Aurora, CO",8,123,8123,Weld,Colorado
216,"Denver-Aurora, CO",8,47,8047,Gilpin,Colorado
216,"Denver-Aurora, CO",8,5,8005,Arapahoe,Colorado
148,"Boston-Worcester-Providence, MA-RI-NH-CT",9,15,9015,Windham,Connecticut
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10,3,10003,New Castle,Delaware
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",10,1,10001,Kent,Delaware
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",11,1,11001,District of Columbia,District of Columbia
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,111,12111,St. Lucie,Florida
422,"Orlando-Lakeland-Deltona, FL",12,49,12049,Hardee,Florida
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,61,12061,Indian River,Florida
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,99,12099,Palm Beach,Florida
422,"Orlando-Lakeland-Deltona, FL",12,97,12097,Osceola,Florida
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,86,12086,Miami-Dade,Florida
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,11,12011,Broward,Florida
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,85,12085,Martin,Florida
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",12,87,12087,Monroe,Florida
422,"Orlando-Lakeland-Deltona, FL",12,105,12105,Polk,Florida
422,"Orlando-Lakeland-Deltona, FL",12,69,12069,Lake,Florida
422,"Orlando-Lakeland-Deltona, FL",12,35,12035,Flagler,Florida
422,"Orlando-Lakeland-Deltona, FL",12,95,12095,Orange,Florida
422,"Orlando-Lakeland-Deltona, FL",12,119,12119,Sumter,Florida
422,"Orlando-Lakeland-Deltona, FL",12,117,12117,Seminole,Florida
422,"Orlando-Lakeland-Deltona, FL",12,127,12127,Volusia,Florida
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,63,13063,Clayton,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,143,13143,Haralson,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,227,13227,Pickens,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,231,13231,Pike,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,297,13297,Walton,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,149,13149,Heard,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,85,13085,Dawson,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,285,13285,Troup,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,139,13139,Hall,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,77,13077,Coweta,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,171,13171,Lamar,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,257,13257,Stephens,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,151,13151,Henry,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,117,13117,Forsyth,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,13,13013,Barrow,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,217,13217,Newton,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,45,13045,Carroll,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,115,13115,Floyd,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,293,13293,Upson,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,137,13137,Habersham,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,223,13223,Paulding,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,255,13255,Spalding,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,97,13097,Douglas,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,57,13057,Cherokee,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,67,13067,Cobb,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,135,13135,Gwinnett,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,211,13211,Morgan,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,195,13195,Madison,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,199,13199,Meriwether,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,219,13219,Oconee,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,89,13089,DeKalb,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,233,13233,Polk,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,15,13015,Bartow,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,157,13157,Jackson,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,221,13221,Oglethorpe,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,35,13035,Butts,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,59,13059,Clarke,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,159,13159,Jasper,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,113,13113,Fayette,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,247,13247,Rockdale,Georgia
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",13,121,13121,Fulton,Georgia
476,"St. Louis-St. Charles-Farmington, MO-IL",17,5,17005,Bond,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,117,17117,Macoupin,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,163,17163,St. Clair,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,121,17121,Marion,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,133,17133,Monroe,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,83,17083,Jersey,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,13,17013,Calhoun,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,27,17027,Clinton,Illinois
476,"St. Louis-St. Charles-Farmington, MO-IL",17,119,17119,Madison,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,37,17037,DeKalb,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,91,17091,Kankakee,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,93,17093,Kendall,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,99,17099,LaSalle,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,155,17155,Putnam,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,63,17063,Grundy,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,111,17111,McHenry,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,43,17043,DuPage,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,97,17097,Lake,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,197,17197,Will,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,89,17089,Kane,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,11,17011,Bureau,Illinois
176,"Chicago-Naperville, IL-IN-WI",17,31,17031,Cook,Illinois
176,"Chicago-Naperville, IL-IN-WI",18,127,18127,Porter,Indiana
176,"Chicago-Naperville, IL-IN-WI",18,111,18111,Newton,Indiana
176,"Chicago-Naperville, IL-IN-WI",18,91,18091,LaPorte,Indiana
176,"Chicago-Naperville, IL-IN-WI",18,73,18073,Jasper,Indiana
176,"Chicago-Naperville, IL-IN-WI",18,89,18089,Lake,Indiana
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,25,24025,Harford,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,35,24035,Queen Anne's,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,5,24005,Baltimore,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,3,24003,Anne Arundel,Maryland
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",24,15,24015,Cecil,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,41,24041,Talbot,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,510,24510,Baltimore,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,33,24033,Prince George's,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,21,24021,Frederick,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,43,24043,Washington,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,17,24017,Charles,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,37,24037,St. Mary's,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,27,24027,Howard,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,13,24013,Carroll,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,31,24031,Montgomery,Maryland
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",24,9,24009,Calvert,Maryland
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,25,25025,Suffolk,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,23,25023,Plymouth,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,1,25001,Barnstable,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,9,25009,Essex,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,27,25027,Worcester,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,5,25005,Bristol,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,17,25017,Middlesex,Massachusetts
148,"Boston-Worcester-Providence, MA-RI-NH-CT",25,21,25021,Norfolk,Massachusetts
220,"Detroit-Warren-Ann Arbor, MI",26,161,26161,Washtenaw,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,91,26091,Lenawee,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,163,26163,Wayne,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,99,26099,Macomb,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,125,26125,Oakland,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,147,26147,St. Clair,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,87,26087,Lapeer,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,115,26115,Monroe,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,49,26049,Genesee,Michigan
220,"Detroit-Warren-Ann Arbor, MI",26,93,26093,Livingston,Michigan
378,"Minneapolis-St. Paul, MN-WI",27,131,27131,Rice,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,147,27147,Steele,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,59,27059,Isanti,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,79,27079,Le Sueur,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,141,27141,Sherburne,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,139,27139,Scott,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,163,27163,Washington,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,53,27053,Hennepin,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,95,27095,Mille Lacs,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,3,27003,Anoka,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,85,27085,McLeod,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,9,27009,Benton,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,25,27025,Chisago,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,37,27037,Dakota,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,49,27049,Goodhue,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,19,27019,Carver,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,171,27171,Wright,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,123,27123,Ramsey,Minnesota
378,"Minneapolis-St. Paul, MN-WI",27,145,27145,Stearns,Minnesota
476,"St. Louis-St. Charles-Farmington, MO-IL",29,187,29187,St. Francois,Missouri
476,"St. Louis-St. Charles-Farmington, MO-IL",29,219,29219,Warren,Missouri
476,"St. Louis-St. Charles-Farmington, MO-IL",29,183,29183,St. Charles,Missouri
